ORGANIZATION,DISCIPLINE,EXP_BUDGET,ANNUAL_AUD,YOUTH,ADDRESS,ADDRESS_2,CITY,ZIP,COUNTY,STATE
Velvet Tones,Performing Arts,"$20,262","1,250",250,15919 Harwell Ave,,Apple Valley,55124,Dakota,MN
Winnebago Area Museum,History,"$33,524",0,,16 S Main,PO Box 595 ,Winnebago,56098,Fairbault,MN
Winona County Historical Society,History,"$484,232","25,200",,160 johnson st,,Winona,55987,winona,mn
Frozen River Film Festival,Media & Communications,"$127,637","3,492",340,160 Johnson St,,Winona,55987,Winona,MN
City of Big LakeArts Project,Other,"$6,500",180,30,160 Lake St N,,Big Lake,55309,Sherburne,MN
Legacy Foundation of Big LakeArts Project,Other,"$26,413","10,500","5,000",160 Lake Street North,PO Box 805,Big Lake,55309,Sherburne,MN
Macalester CollegeHistory Project,History,"$7,103",0,,1600 Grand Avenue,,Saint Paul,55105,Ramsey,MN
Lake George Neighborhood AssociationArts Project,Other,"$6,995",411,97,1601 8th Ave E,,Saint Cloud,56304,Sherburne,MN
Upper Midwest Flute Association,Performing Arts,"$16,490",275,100,1609 Pleasant St Ste 209,,Lauderdale,55108,Ramsey,MN
"District Council 13, IncArts Project",Other,"$4,250",200,100,161 Snelling Ave N,,Saint Paul,55104,Ramsey,MN
Riverside Plaza Tenant Association,Arts Multipurpose,"$12,750",480,80,1615 S 4th St,,Minneapolis,55454,Hennepin,MN
Lundstrum Center for the Performing Arts,Performing Arts,"$1,292,406","4,400",800,1617 2nd St N,,Minneapolis,55411,Hennepin,MN
"Family Tree, Inc.Arts Project",Other,"$25,400",325,25,1619 Dayton Ave,,Saint Paul,55104-7642,Ramsey,MN
Charles A. Lindbergh Historic Site,History,"$116,836","9,752","1,637",1620 Lindbergh Drive South,,Little Falls,56345,Morrison,MN
The Russian Soul,Arts Multipurpose,"$9,801",165,30,1624 3rd St NE,,Minneapolis,55413,Hennepin,MN
Armory Arts and Music Center,Performing Arts,"$163,550",520,20,1626 London Road #779,,Duluth,55812,St. Louis,MN
Andrew J. Volstead House Museum/Granite Falls Historical Society,History,"$12,707",500,150,163  9th Avenue,,Granite Falls,56241,Yellow Medicine,MN
"Anderson Center for Interdisciplinary Studies, Inc.",Arts Multipurpose,"$608,864","5,300",800,163 Tower View Dr,,Red Wing,55066,Goodhue,MN
Universal Music Center,Performing Arts,"$90,257","2,095","1,215",163 Tower View Dr,,Red Wing,55066,Goodhue,MN
Giants of the Earth Heritage Center,History,"$135,676",0,,163 West Main Street,PO Box 223,Spring Grove,55974,Houston,MN
Wise Fool Shakespeare,Performing Arts,"$25,200","1,000",100,1631 4th St E,,Duluth,55812,St. Louis,MN
Jewish Family Service of Saint PaulArts Project,Other,"$3,145",60,0,1633 7th St W,,Saint Paul,55102,Ramsey,MN
"Lake Superior Youth Chorus, Inc.",Performing Arts,"$117,000","7,000","2,500",1633 Woodbury Ln,PO Box 3337,Duluth,55803,St. Louis,MN
Lakeville City Ballet,Performing Arts,"$227,071","8,790","4,390",16368 Kenrick Ave,,Lakeville,55044,Dakota,MN
Phelps Mill Country,Arts Multipurpose,"$65,000","16,000","4,000",16388 co hwy 18,PO Box 156,Ashby,56309,Grant,MN
Rhythmically Speaking,Performing Arts,"$23,985",480,30,1640 Dunlap St N,,Saint Paul,55108,Ramsey,MN
Bishop String Quartet,Performing Arts,"$6,250",37,30,1640 Ford Pkwy,,Saint Paul,55116,Ramsey,MN
Two Harbors Area Arts and Events/Chalk.a.Lot,Visual Arts & Architecture,"$13,700","2,000",500,1640 Hwy 2,,Two Harbors,55616,Lake,MN
Minnesota Childrens Museum of Rochester,Other,"$16,125",1,0,1643 Broadway Ave N,,Rochester,55906,Olmsted,MN
Twin Cities Film Fest,Media & Communications,"$442,637","13,150",150,1649 Alabama Ave S,,Saint Louis Park,55416,Hennepin,MN
Minnesota Association for Childrens Mental Health,Performing Arts,"$50,809","1,000",400,165 Western Ave N,,Saint Paul,55102,Ramsey,MN
Afton Historical Society Press,Literary & Arts,"$202,947 ",0,,165 Western Ave. N.,Suite 15,Saint Paul,55102-4613,Ramsey,MN
Project FriendshipHistory Project,History,"$11,200",0,,1651 Jefferson Parkway,,Northfield,55057,Rice,MN
"Northfield Senior Citizens, Inc.",Arts Multipurpose,"$13,990",215,15,1651 Jefferson Pkwy,,Northfield,55057,Rice,MN
Northfield Public SchoolsArts Project,Other,"$3,000","1,600",850,1651 Jefferson Pkwy,,Northfield,55057,Rice,MN
Northfield Community ServicesArts Project,Other,"$10,345","1,100",500,1651 Jefferson Pkwy,,Northfield,55057,Rice,MN
Northfield Healthy Community InitiativeArts Project,Other,"$40,703",853,758,1651 Jefferson Pkwy,,Northfield,55057,Rice,MN
Oratorio Society of Minnesota,Performing Arts,"$102,959",600,100,1658 Lincoln Avenue,PO Box 131814,Saint Paul,55113,Ramsey,MN
Cialuna Storydance Theatre,Performing Arts,"$8,500",220,20,1661 Longview Dr,,Saint Paul,55112,Ramsey,MN
Chaska Valley Family Theatre,Performing Arts,"$55,038","2,525",25,1661 Park Ridge Dr,PO Box 641,Chaska,55317,Carver,MN
Rondo Family Reunion,Arts Multipurpose,"$23,000","2,300",300,1663 Hewitt Ave,,Saint Paul,55104,Ramsey,MN
Prairie Winds Concert Band,Performing Arts,"$6,360","1,425","1,300",16648 85th St NE,,New London,56273,Kandiyohi,MN
Sound Support for String Music,Performing Arts,"$11,494","3,000","1,000",1669 Douthwood Avenue,PO Box 232,Red Wing,55066,Goodhue,MN
Ecumen Seasons at MaplewoodArts Project,Other,"$13,905",30,0,1670 Legacy Pkwy E,,Maplewood,55109,Ramsey,MN
Interfaith Action of Greater Saint PaulArts Project,Other,"$32,000",120,70,1671 Summit Ave,,Saint Paul,55105,Ramsey,MN
Lowertown Blues Festival,Performing Arts,"$201,525","25,000","7,500",1671 Village Trl E,,Maplewood,55109,Ramsey,MN
Clearbrook Gonvick Community EducationArts Project,Other,"$4,089",210,102,16770 Clearwater Lake Rd,,Clearbrook,56634,Clearwater,MN
Mid West Music Fest,Performing Arts,"$112,292","2,400",300,168 3rd St E,PO Box 1465,Winona,55987,Winona,MN
Wabasha Public Library,Visual Arts & Architecture,$961,80,60,168 Alleghany Ave,,Wabasha,55981,Wabasha,MN
Atelier Studio Program of Fine Arts/The Atelier,Visual Arts & Architecture,"$211,804",240,120,1681 Hennepin Ave E,,Minneapolis,55414,Hennepin,MN
West Central Singers,Performing Arts,"$9,979","1,350",650,1684 78th Ave NE,,Willmar,56201,Kandiyohi,MN
Community Participation Art Projects,Visual Arts & Architecture,"$6,950",120,20,1688 Thomas Ave,,Saint Paul,55104,Ramsey,MN
Lake Itasca Region Pioneer Farmers,Other,"$4,685",600,200,16914 North Entrance Dr,,Shevlin,56676,Clearwater,MN
International Institute of Minnesota/Festival of Nations,Arts Multipurpose,"$490,978","50,000","15,000",1694 Como Ave,,Saint Paul,55108,Ramsey,MN
New Ulm Public LibraryHistory Project,History,"$9,585",0,,17 N Broadway,,New Ulm,56073,Brown,MN
Milaca Fine Arts Council,Arts Multipurpose,"$9,550","1,013",60,170 2nd Ave SW,PO Box 361,Milaca,56353-0022,Mille Lacs,MN
Friends of Historic Virginia Street Church History Project,History,"$11,200",0,,170 Virginia Street,,Saint Paul,55102,Ramsey,MN
Dream Technical AcademyWillmarArts Project,Other,"$2,460",450,150,1700 16th St NE,,Willmar,56201,Kandiyohi,MN
East Side Neighborhood ServicesArts Project,Other,"$12,500",75,30,1700 2nd St NE,,Minneapolis,55413,Hennepin,MN
Minnesota African American Museum and Cultural Center,History,"$7,888",0,,1700 3rd Avenue South,,Minneapolis,55404,Hennepin ,MN
Steele County Historical Society,History,"$494,085",0,,1700 Austin Road,,Owatonna,55060,Steele,MN
Sky Blue Jazz Ensemble,Performing Arts,"$5,650",447,27,1701 5th St W,,Grand Marais,55604,Cook,MN
Wadena Area Community Band,Performing Arts,"$4,500",535,50,1711 Southbrook Ln,PO Box 276,Eagle Bend,56482,Todd,MN
Oratory Bach Ensemble,Performing Arts,"$16,673",300,25,1712 Fillmore St NE,,Minneapolis,55413,Hennepin,MN
WTIP FM Cook County Community Radio,Media & Communications,"$659,503","1,970",200,1712 West Highway 61,PO Box 1005,Grand Marais,55604,Cook,MN
Rural Route Dance Ensemble,Performing Arts,"$2,515",95,15,1714 3rd St S,,Saint Peter,56082,Nicollet,MN
Mississippi Valley Orchestra,Performing Arts,"$27,618",400,50,1716 Atwater Path,,Inver Grove Heights,55077,Dakota,MN
SHIFT,Arts Multipurpose,"$5,500",170,20,1716 Fremont Ave S,,Minneapolis,55403,Hennepin,MN
Waseca High School Jazz Festival,Performing Arts,"$8,000",325,195,1717 2nd St NW,,Waseca,56093,Waseca,MN
Twin Cities Public Television,Media & Communications,"$32,997,871","3,000","2,200",172 4th St E,,Saint Paul,55101-1492,Ramsey,MN
WGZS FM Fond du Lac Band of Lake Superior Chippewa,Media & Communications,"$108,900","1,500",0,1720 Big Lake Road,,Cloquet,55720,Carlton,MN
Minnesota Aviation History and Education Center,History,"$4,962",0,0,1725 Henry Avenue,PO Box 7884,Saint Paul,55107,Ramsey,MN
"Big Island Rendezvous and Festival, Inc.",Arts Multipurpose,"$80,897 ",0,,1725 West Main Street,,Albert Lea,56007,Freeborn,MN
Dreamery Rural Arts Initiative,Arts Multipurpose,"$17,058",814,184,17289 County Rd 8,,Wykoff,55990-2134,Fillmore,MN
Duluth Superior Film Festival,Media & Communications,"$56,413","3,600",100,1734 Columbus Ave,,Duluth,55803,St. Louis,MN
Threads Dance Project,Performing Arts,"$134,996",36,35,1740 Bridgewater Rd,,Golden Valley,55422,Hennepin,MN
Platinum Theatre Company,Performing Arts,"$13,643",150,25,1742 Deerwood Dr,,Eagan,55122,Dakota,MN
Cokato Historical Society,History,"$30,849","3,000",500,175 4th Street Southwest,"PO Box 686, 175 Fourth Street W",Cokato,55321,Wright,MN
Winona State University,Literary & Arts,"$29,118","1,069",953,175 West Mark Street,PO Box 5838,Winona,55987,Winona,MN
KQAL FM Winona State University,Media & Communications,"$190,235","3,004",0,175 West Mark Street,PO Box 5838,Winona,55987,Winona,MN
Walker Art Center,Arts Multipurpose,"$28,847,936","680,000","160,000",1750 Hennepin Ave,,Minneapolis,55403-2115,Hennepin,MN
Musical Offering,Performing Arts,"$61,680","2,050",50,1750 Lincoln Ave,,Saint Paul,55105,Ramsey,MN
"ESR, Inc.",Performing Arts,"$13,770",200,0,1754 Washington Ave,,Stillwater,55082,Washington,MN
Minnesota Pottery Festival,Visual Arts & Architecture,"$12,620","4,035","2,035",17614 240th St,,Hutchinson,55350,McLeod,MN
Farm By The Lake,Arts Multipurpose,"$7,025",738,56,17797 366th St,,Bagley,56621,Clearwater,MN
113,Performing Arts,"$11,244","2,850",0,1780 Snelling Ave N,,Falcon Heights,55113,Ramsey,MN
Youth Theatre Workshop,Performing Arts,"$115,844","8,166","4,455",17804 Concord Ct,,Elk River,55330,Sherburne,MN
Command Performance Choirs,Performing Arts,"$24,287",650,350,17804 Concord Ct Nw,PO Box 95,Elk River,55330-0095,Sherburne,MN
Time Track Productions,Performing Arts,"$27,000",105,15,18 12th St N,,Minneapolis,55403,Hennepin,MN
Bagley Art in the Park,Arts Multipurpose,"$3,857",300,100,18 Main Ave S,,Bagley,56621,Clearwater,MN
Redeemer Center for Life,Arts Multipurpose,"$27,200","4,500","1,000",1800 Glenwood Ave,,Minneapolis,55405,Hennepin,MN
Artistry/Bloomington Theatre and Art Center,Arts Multipurpose,"$1,891,852","94,623","10,275",1800 Old Shakopee Rd W,,Bloomington,55431-3071,Hennepin,MN
Continental Ballet Company,Performing Arts,"$158,628","6,000","2,000",1800 Old Shakopee Rd W,,Bloomington,55431-3071,Hennepin,MN
Angelica Cantanti Youth Choirs,Performing Arts,"$270,000","4,275",275,1800 Old Shakopee Rd W,,Bloomington,55431-3071,Hennepin,MN
Bloomington Chorale,Performing Arts,"$31,334",470,20,1800 Old Shakopee Rd W,,Bloomington,55431,Hennepin,MN
Bloomington Symphony Orchestra,Performing Arts,"$60,603","1,150",150,1800 Old Shakopee Rd W,,Bloomington,55431,Hennepin,MN
Medalist Concert Band,Performing Arts,"$52,760",130,80,1800 Old Shakopee Rd W,,Bloomington,55431,Hennepin,MN
NOTE able Singers,Performing Arts,"$22,800","1,525",25,1800 Old Shakopee Rd W,,Bloomington,55431,Hennepin,MN
Bloomington Fine Arts Council,Arts Multipurpose,"$2,850","60,000","5,000",1800 W Old Shakopee Rd,,Bloomington,55431,Hennepin,MN
Bloomington Historical Society,History,"$7,000",0,,1800 West Old Shakopee Road,,Bloomington,55431,Hennepin,MN
Chester Bowl Improvement ClubArts Project,Other,"$15,000","13,000","3,000",1801 Skyline Pkwy E,,Duluth,55812,St. Louis,MN
Haven HousingArts Project,Other,"$5,292",173,0,1803 Bryant Ave N,,Minneapolis,55411,Hennepin,MN
KFAI Fresh Air Incorporated,Media & Communications,"$779,629",0,0,1808 Riverside Avenue,,Minneapolis,55454,Hennepin,MN
Rice County Historical Society,History,"$129,476",0,,1814 NW Second Avenue,,Faribault,55021,"Rice, Statewide",MN
Prevent Child Abuse MinnesotaArts Project,Other,"$6,250",12,0,1821 University Ave,,Saint Paul,55104,Ramsey,MN
Twin Cities World Refugee Day,Arts Multipurpose,"$20,000",800,400,1821 University Ave W,,Saint Paul,55104,Ramsey,MN
Advocating Change TogetherArts Project,Other,"$28,675",55,0,1821 University Ave W,,Saint Paul,55104-4533,Ramsey,MN
Rhapsody Performing Arts For All,Performing Arts,"$42,113","1,097",289,1827 16 1/2 St NW,,Rochester,55901,Olmsted,MN
Eclectic Ensemble,Performing Arts,"$6,300",900,100,1828 3rd St NE,,Minneapolis,55418,Hennepin,MN
Music Association of Minnetonka,Performing Arts,"$193,099","2,510",150,18285 Hwy 7,,Minnetonka,55345,Hennepin,MN
Lanesboro Barn Dance,Performing Arts,"$4,350",154,24,18287 Gap Dr,,Spring Grove,55974,Houston,MN
Glitch Gaming,Arts Multipurpose,"$75,746",40,0,1829 Riverside Ave,,Minneapolis,55454,Hennepin,MN
Ladyslipper Baroque,Performing Arts,"$13,910",56,6,183 Winifred St W,,Saint Paul,55107,Ramsey,MN
City of MaplewoodArts Project,Other,"$25,000","1,000",700,1830 County Rd B E,,Maplewood,55109,Ramsey,MN
Twin Cities Horn Club,Performing Arts,"$1,830","7,200","2,448",1830 Holton St,,Falcon Heights,55113,Ramsey,MN
Hazel Park United Church of ChristArts Project,Other,"$10,000",650,200,1831 Minnehaha Ave E,,Saint Paul,55119,Ramsey,MN
Sauk Rapids Rice Public Schools Central Minnesota Adult Basic Education,Other,"$3,020",48,0,1835 Osauka Rd NE,,Sauk Rapids,56379,Benton,MN
Nicollet County Historical Society,History,"$365,819",0,,1851 N Minnesota Avenue,,Saint Peter,56082,"Nicollet, Blue Earth, Brown, Le Sueur, Sibley",MN
Interact Center for the Visual and Performing Arts,Performing Arts,"$1,669,551","3,300",300,1860 Minnehaha Ave W,,Saint Paul,55104,Ramsey,MN
Minnesota Newspaper FoundationHistory Project,History,"$10,350",0,,1866 Lucille Lane,,Saint Cloud,56303,Ramsey,MN
Theatre LHomme Dieu,Performing Arts,"$287,453","5,075",100,1875 County Rd 120 NE,,Alexandria,56308,Douglas,MN
"North Homes, Inc.Arts Project",Other,"$25,450",138,123,1880 River Rd,,Grand Rapids,55744,Itasca,MN
Louisville Foundation at Old CrossingArts Project,Other,"$3,250",85,25,18817 150th Ave SW,,Red Lake Falls,56750,Red Lake,MN
North Star Chorus,Performing Arts,$255,"1,100",100,1883 Laurel Ave,,Saint Paul,55104,Ramsey,MN
Sing Out Loud,Performing Arts,"$152,065","3,498",781,1884 22nd St NW,PO Box 6205,Rochester,55903,Olmsted,MN
Sub Saharan African Youth and Family Services in MinnesotaArts Project,Other,"$14,046",15,0,1885 University Ave W,,Saint Paul,55104,Ramsey,MN
St. Croix Valley Potters Tour,Visual Arts & Architecture,"$35,500 ",6000,,18855 263rd Street,,Shafer,55074,Chisago,MN
City of Waite ParkArts Project,Visual Arts & Architecture,"$3,075",450,150,19 13th Ave N,,Waite Park,56387,Stearns,MN
LALA Festival,Arts Multipurpose,"$13,750",40,10,19 W 32nd St,,Minneapolis,55408,Hennepin,MN
Summerset Community Theatre,Performing Arts,"$46,520","2,234",338,1900 8th Ave NW,,Austin,55912,Mower,MN
Vermilion Community CollegeArts Project,Other,"$3,360",47,2,1900 Camp St E,,Ely,55731,St. Louis,MN
Ely Community Spring Musical,Performing Arts,"$16,100","1,500",500,1900 Camp St E,,Ely,55731,St. Louis,MN
AvivoArts Project,Other,"$12,338",60,0,1900 Chicago Ave S,,Minneapolis,55404,Hennepin,MN
Ely Winton Historical Society/Museum,History,"$46,112","1,033",,1900 E Camp St,,Ely,55731,St. Louis,MN
Northern Lakes Arts Association,Arts Multipurpose,"$39,423","2,885",385,1900 East Camp Street,PO Box 749,Ely,55731-0749,St. Louis,MN
VocalEssence,Performing Arts,"$1,971,422","17,000","8,000",1900 Nicollet Ave,,Minneapolis,55403,Hennepin,MN
City of St. Paul (Board of Water Commissioners)History Project,History,"$10,820",0,,1900 Rice St,,Saint Paul,55113,Ramsey,MN
"Minnesota ""Over 60"" Band",Performing Arts,"$23,426","28,000","8,000",1906 Welco Dr W,,Saint Peter,56082,Nicollet,MN
"Hammer Residences, IncArts Project",Other,"$12,500",32,2,1909 E Wayzata Blvd,,Wayzata,55391,Hennepin,MN
Rochester Music Guild,Performing Arts,"$18,309",355,120,1914 Viola Hts Ln NE,PO Box 5802,Rochester,55903,Olmsted,MN
Toneworks Community Foundation,Performing Arts,"$49,097",196,176,1918 19th Ave NE,,Minneapolis,55418,Hennepin,MN
Minnesota Shakes,Performing Arts,"$8,260",65,35,1918 Humboldt Ave S,,Minneapolis,55403,Hennepin,MN
"The Raptor Center, University of Minnesota",Other,"$1,396,855","133,100","78,100",1920 Fitch Avenue,,Saint Paul,55108,Ramsey,MN
South Central College North MankatoArts Project,Other,"$9,000",354,98,1920 Lee Blvd,,North Mankato,56003,Nicollet,MN
Theatre Forever,Performing Arts,$348,145,5,1921 Benjamin St NE,,Minneapolis,55418,Hennepin,MN
WLDRNSS,Performing Arts,"$18,510",725,25,1921 Benjamin St NE,,Minneapolis,55418,Hennepin,MN
Musikgarten of Anoka,Performing Arts,"$15,900",170,95,1923 3rd Ave S,,Anoka,55303-2422,Anoka,MN
Stevens Square Community Organization,Other,"$191,889 ",3366,,1925 Nicollet Ave,,Minneapolis,55403-3747,Hennepin,MN
Minnesota Transportation Museum/Jackson Street Roundhouse Interpretive Plan,History,"$910,687",0,,193 E Pennsylvania Avenue,,Saint Paul,55130,"Statewide, Ramsey",MN
DIAL GROUP,Arts Multipurpose,"$83,564",90,30,1930 Glenwood Ave,,Minneapolis,55405,Hennepin,MN
"Grand Rapids Players, Inc.",Performing Arts,"$15,607",927,100,1944 County Road A,PO Box 26,Grand Rapids,55744,Itasca,MN
Wilkin County Agricultural Society,Performing Arts,"$2,000",125,25,1948 280th St,,Breckenridge,56520,Wilkin,MN
ANEW BAM,Arts Multipurpose,"$12,500",700,600,1950 Case Ave,,Saint Paul,55119,Ramsey,MN
Western Hennepin County Pioneers Association/ Pioneer Museum,History,"$38,065",0,,1953 W Wayzata Blvd,Po Box 332,Long lake ,55356,Hennepin,MN
Northland Words,Performing Arts,"$167,500","2,915","1,190",19554 County Rd 2,,Chatfield,55923,Olmsted,MN
Twin Cities Bronze,Performing Arts,"$4,450",100,20,1960 Asbury St,,Roseville,55113,Ramsey,MN
International Friendship Through the Performing Arts,Arts Multipurpose,"$47,739",980,120,1960 Cliff Lake Rd,,Eagan,55122,Dakota,MN
FamilyMeansArts Project,Other,"$10,000",36,35,1976 Northwestern Ave S,,Stillwater,55082,Washington,MN
Minnesota Supreme Court Historical Society,History,"$5,330",0,0,"1976 Wooddale Drive, Suite 3A",,Woodbury,55125,Statewide,MN
Minnesota Jewish Theatre Company,Performing Arts,"$329,311","6,720","1,900",1978 Ford Pkwy,,Saint Paul,55116-0155,Ramsey,MN
TriDistrict Community EducationArts Project,Other,"$11,306",230,100,1979 Summit Ln,,Mendota Heights,55118,Dakota,MN
West Saint Paul Mendota Heights Eagan School District School Age CareArts Project,Other,"$7,034",230,100,1979 Summit Ln,,Mendota Heights,55118,Dakota,MN
Goldstein Museum of Design Regents of the U of M,Visual Arts & Architecture,"$633,708","14,150",150,1985 Buford Ave,,Saint Paul,55108-6134,Ramsey,MN
Knife River Recreation Council,Performing Arts,"$19,100","3,000",750,199 Alger Smith Rd,,Knife River,55609,Lake,MN
Martin Luther College Summit Avenue Music Series,Performing Arts,"$17,110",482,19,1995 Luther Ct,,New Ulm,56073,Brown,MN
New Ulm Film Society,Media & Communications,"$3,420",35,0,2 1/2 Minnesota St N,,New Ulm,56073,Brown,MN
Source Song Festival,Performing Arts,"$34,341","1,830",30,20 19th St E,,Minneapolis,55403,Hennepin,MN
Rochester Civic Theatre,Performing Arts,"$1,003,697","45,600",600,20 Civic Center Dr SE,,Rochester,55904-3773,Olmsted,MN
Childrens Dance Theatre,Performing Arts,"$73,219","2,149","1,274",20 Civic Center Drive Southeast,PO Box 6655,Rochester,55903,Olmsted,MN
Aitkin County Historical Society,History,"$43,000","3,075",925,"20 Pacific Street SW, PO Box 215",,Aitkin,56431,Aitkin,MN
Park Square Theatre,Performing Arts,"$3,380,852","103,427","32,449",20 W 7th Pl,,Saint Paul,55102,Ramsey,MN
Little Falls Arts and Crafts Fair,Visual Arts & Architecture,"$75,978 ",0,,200 1 Street Northwest,,Little Falls,56345,Morrision,MN
Little Falls Arts and Crafts Fair,Arts Multipurpose,"$75,978 ","126,467",,200 1st Street Northwest,,Little Falls,56345,,MN
In His Steps Ballet and Performing Arts Company,Performing Arts,"$39,962",850,250,200 3rd Ave NE,,Cambridge,55008,Isanti,MN
Summer Arts Stages,Performing Arts,"$37,181","3,737","1,020",200 3rd Street Northwest,PO Box 521,East Grand Forks,56721-1001,Polk,MN
Marshall Area Farmers Market,Other,"$5,000","2,800",500,200 A St S,,Marshall,56258,Lyon,MN
Hastings Cable Community Access Coop/Hastings Community Television,Media & Communications,"$387,512",0,0,200 General Sieben Drive,,Hastings,55033,Dakota,MN
City of BigforkHistory Project,History,"$277,147",0,,200 Main Ave,PO Box 196,Bigfork,56628,Itasca,MN
"Waseca Arts Council, Inc.",Visual Arts & Architecture,"$59,214","1,412",200,200 State St N,,Waseca,56093-2810,Waseca,MN
Austin Public Television/KSMQ/Public Service Media Inc,Media & Communications,"$1,842,231",150,,2000 Eighth Ave,,Austin,55912,Mower,MN
City of Northfield (Northfield Hospital and Clinics)History Project,History,"$10,000",0,,2000 North Avenue,,Northfield,55057,Dakota,MN
Wright County Historical Society,History,"$285,698",0,0,2001 Highway 25 N,,Buffalo,55313,Wright,MN
Dorothy Molter Foundation and Museum/Memorial Foundation,History,"$114,549","5,140","1,094",2002 East Sheridan Street,PO Box 391,Ely,55731,St. Louis,MN
OShaughnessy at Saint Catherine University,Performing Arts,"$1,339,239","72,000","22,000",2004 Randolph Ave,,Saint Paul,55105-1750,Ramsey,MN
Bemidji Contra Dance,Performing Arts,"$7,650",220,20,20045 Windsurf Dr,,Bemidji,56601,Hubbard,MN
Juxtaposition Inc.,Visual Arts & Architecture,"$1,229,776","8,800","1,300",2007 Emerson Ave N,,Minneapolis,55411-2507,Hennepin,MN
Arlington Area Chamber of CommerceArts Project,Other,"$26,600","7,500","3,000",2009 14th St N #100,PO Box 435,Arlington,55307,Sibley,MN
City of Rochester Music Department/Riverside Concerts,Performing Arts,"$1,199,766","162,500","2,500",201 4th St SE,,Rochester,55904-3778,Olmsted,MN
Sacred Heart John Chebul Memorial Center Association,Performing Arts,"$4,200",197,37,201 4th St W,,Duluth,55806,St. Louis,MN
Morris Area Arts Booster,Arts Multipurpose,"$1,700",230,80,201 Columbia Ave S,,Morris,56267,Stevens,MN
Leech Lake Area Chamber of Commerce,Performing Arts,"$42,000","5,250","1,200",201 Minnesota Ave E,,Walker,56484,Cass,MN
Cass County Historical SocietyHistory Project,History,"$31,247",0,,201 Minnesota Ave W,PO Box 505,Walker,56484,Cass,MN
Theif River Falls Area Community Theater,Performing Arts,"$83,067","1,120",250,201 Sherwood Ave N,,Thief River Falls,56701,Pennington,MN
Springboard for the Arts Fergus Falls,Arts Multipurpose,"$211,425","2,433",,201 W Lincoln Ave,,Fergus Falls,56537,Otter Tail,MN
Haunted Basement,Performing Arts,"$186,085","7,000",0,2010 E Hennepin Ave,,Minneapolis,55413,Hennepin,MN
FOCI Minnesota Center for Glass Arts,Visual Arts & Architecture,"$345,073","30,392","8,940",2010 Hennepin Ave E,,Minneapolis,55413,Hennepin,MN
Bridge Chamber Music Festival,Performing Arts,"$19,250",530,30,2011 Grant Dr,PO Box 173,Northfield,55057,Rice,MN
Raw Sugar,Performing Arts,"$11,800",500,0,2012 31st Ave S,,Minneapolis,55406,Hennepin,MN
Grace Minnesota,Arts Multipurpose,"$21,771",750,50,2012 Grand Ave S,,Minneapolis,55405,Hennepin,MN
Historical and Cultural Society of Clay County/Historic Comstock House,Arts Multipurpose,"$979,537","2,000",500,202 1st Ave N,,Moorhead,56561,Clay,MN
Nordic Culture Clubs,Arts Multipurpose,"$5,000","3,850","1,250",202 1st Ave N,,Moorhead,56560,Clay,MN
Sibley East Community EducationArts Project,Other,"$1,435",220,120,202 3rd Ave. N.W.,PO Box 356,Gaylord,55334,Sibley,MN
Project FINE,Arts Multipurpose,"$39,398",325,25,202 3rd St W,,Winona,55987,Winona,MN
Bagley Community EducationArts Project,Other,"$4,153",258,50,202 Bagley Ave NW,,Bagley,56621-8759,Clearwater,MN
Fillmore County Historical Center/Museum and Genealogy Library/Emery and Almeda Eickhoff Genealogy Library,History,"$59,933",0,,202 County Road 8 ,,Fountain,55935,Fillmore,MN
Prairie Wind Players Community Theatre,Performing Arts,"$72,157",925,25,202 Hawkins Ave,,Barrett,56311-0246,Grant,MN
Iraqi and American Reconciliation Project,Arts Multipurpose,"$12,505","40,000","10,000",2021 Hennepin Ave E,,Minneapolis,55413,Hennepin,MN
Twin Cities Pride,Arts Multipurpose,"$707,234","55,000","15,000",2021 Hennepin Ave E,,Minneapolis,55413,Hennepin,MN
Mississippi Valley Poets and Writers,Literary & Arts,$249,40,0,2029 103rd Ave NW,,Coon Rapids,55433,Anoka,MN
Thief River Falls Education FoundationArts Project,Other,"$4,000",682,670,203 LaBree Ave S,,Thief River Falls,56701,Pennington,MN
Lake Park Area Historical Society,History,"$24,000",500,100,2032 2nd Street ,P.O. Box 193,Lake Park,56554,Becker,MN
Eclectic Edge Ensemble,Performing Arts,"$36,108","1,390",100,2035 Florida Ave S,,Saint Louis Park,55426,Hennepin,MN
County Seat Theater Company,Performing Arts,"$134,900","5,090",190,2035 Hwy 33 S,,Cloquet,55720,Carlton,MN
Onamia Area Friends of the LibraryArts Project,Other,"$3,500",179,13,204 Roosevelt Rd,,Onamia,55359,Mille Lacs,MN
Arlington Historical Society,History,"$13,457",0,,204 Shamrock Drive,,Arlington,55307,Sibley,MN
Vintage Band Music Festival,Performing Arts,"$73,087","16,000","1,000",204 W Seventh St,,Northfield,55057,Dakota,MN
SOAR Career Solutions  Arts Project,Other,"$25,000",75,10,205 2nd St W,,Duluth,55802,St. Louis,MN
Minnesota Lakes Maritime Society,Arts Multipurpose,"$6,900","4,000",500,205 3rd Ave W,,Alexandria,56308,Douglas,MN
Cleveland Cherry Creek Days,Performing Arts,"$9,400","1,500",500,205 4th St,,Cleveland,56017,Le Sueur,MN
KMSU FM/KMSK FM MN State University Mankato,Media & Communications,"$190,235","21,551",0,205 Minnesota State University,,Mankato,56001,Blue Earth,MN
